"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-25","6.49",,,,"0.00","0.0","0.0","69","80","53",,"  190","  180",,,"16.1","21.0",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-26","8.05",,,,"0.00","0.0","0.0","73","80","66",,"  230","  210",,,"18.1","23.9",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-27","5.37",,,,"0.00","0.0","0.0","75","88","65",,"  190","  270",,,"15.0","31.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-28","3.80",,,,"0.43","0.0","0.0","75","86","67",,"  250","  250",,,"23.9","32.0","    1",,"    1",,,,"    1",,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-29","5.82",,,,"0.17","0.0","0.0","73","84","65",,"  240","  240",,,"16.1","19.9","    1",,"    1",,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-30","3.80",,,,"0.00","0.0","0.0","72","84","61",,"  320","  340",,,"15.0","19.9","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-05-31","3.36",,,,"0.00","0.0","0.0","74","87","61",,"   50","   50",,,"14.1","16.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-01","4.25",,,,"0.00","0.0","0.0","76","88","63",,"  270","  270",,,"23.0","25.1",,,"    1",,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-02","4.70",,,,"0.00","0.0","0.0","75","83","69",,"  300","  300",,,"13.0","15.0",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-03","3.58",,,,"0.00","0.0","0.0","76","86","68",,"  310","  300",,,"13.0","16.1","    1",,,,,,"    1",,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-04","7.16",,,,"0.07","0.0","0.0","74","80","67",,"  180","  170",,,"16.1","21.9","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-05","11.63",,,,"0.05","0.0","0.0","71","81","66",,"  270","  240",,,"23.9","35.1","    1",,"    1",,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-06","10.96",,,,"0.00","0.0","0.0","73","86","62",,"  220","  230",,,"28.0","33.1",,,"    1",,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-07","10.51",,,,"0.00","0.0","0.0","66","73","58",,"  290","  300",,,"23.9","31.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-08","10.07",,,,"0.00","0.0","0.0","62","73","52",,"  300","  300",,,"19.9","23.9",,,,,,,,,
